,C10,SVEC,RAW
111,0.292324,0.2864174,0.42125866
112,0.28853408,0.3619521,0.34951383
113,0.301499,0.40819648,0.29030457
114,0.39460167,0.21159624,0.39380208
115,0.47665963,0.23622736,0.287113
116,0.38574186,0.3583242,0.25593394
117,0.36828396,0.3500013,0.28171468
118,0.29360402,0.38766712,0.31872883
119,0.31357914,0.39287195,0.29354894
120,0.36266172,0.3218377,0.31550053
121,0.33146366,0.34969902,0.31883729
122,0.27713525,0.27566093,0.44720381
123,0.32918456,0.46136,0.20945542
124,0.32172972,0.41884258,0.25942767
125,0.28036785,0.2046823,0.5149498
126,0.32718298,0.32386568,0.34895137
127,0.353049,0.2829623,0.3639887
128,0.35163477,0.22157863,0.42678663
129,0.4506402,0.31230628,0.23705354
130,0.17225382,0.15549855,0.67224765
131,0.37691808,0.21578428,0.40729764
132,0.38092336,0.45878017,0.16029651
133,0.3843683,0.372515,0.24311672
134,0.34234625,0.33786932,0.3197844
135,0.28552556,0.41982946,0.29464495
136,0.40495667,0.3434108,0.25163248
137,0.38000825,0.43760666,0.18238516
138,0.20941024,0.35177147,0.43881828
139,0.34715945,0.35583416,0.29700637
140,0.23068328,0.34315103,0.4261657
141,0.22602525,0.32113516,0.45283964
142,0.35024065,0.3910353,0.258724
143,0.27806404,0.42477372,0.29716226
144,0.34090874,0.38225937,0.2768319
145,0.45856562,0.24412873,0.29730567
146,0.21400833,0.37736776,0.40862393
147,0.39135557,0.2706331,0.33801132
148,0.3738592,0.31623843,0.30990234
149,0.31899348,0.5028197,0.17818677
150,0.22206403,0.42568928,0.35224667
151,0.38209003,0.43959802,0.17831199
152,0.37239993,0.47380632,0.15379381
153,0.2809471,0.50075126,0.2183016
154,0.260967,0.3556953,0.38333774
155,0.36106822,0.30592299,0.33300883
156,0.43062598,0.2858093,0.28356472
157,0.46062374,0.37968612,0.15969011
158,0.35800537,0.36187905,0.2801156
159,0.2630927,0.29770684,0.4392005
160,0.25910354,0.21228293,0.52861357
161,0.42657095,0.38408262,0.18934639
162,0.395199,0.27399957,0.3308014
163,0.37299815,0.37130755,0.2556943
164,0.2301135,0.3367204,0.4331661
165,0.35045362,0.24606664,0.40347978
166,0.367608,0.36654696,0.26584503
167,0.31558895,0.2584873,0.42592373
168,0.3345525,0.3227935,0.342654
169,0.2975809,0.42204762,0.28037152
170,0.36666122,0.36560574,0.267733
171,0.40314248,0.3712048,0.2256527
172,0.40739658,0.32681447,0.26578888
173,0.2684756,0.31476578,0.4167586
174,0.1949623,0.45766023,0.34737742
175,0.36040705,0.19520834,0.4443846
176,0.41587406,0.41286144,0.17126451
177,0.38176313,0.3290656,0.28917125
178,0.328966,0.41853356,0.25250044
179,0.351451,0.41819185,0.23035717
180,0.38516617,0.21418823,0.4006456
